,Wiki name,Wiki URL,Vertical,Primary image,Description,Secondary image 1,Secondary image 2,Secondary image 3,Secondary image 4,Secondary image 5
,Modern Family Wiki,http://de.modernfamily.wikia.com/,Entertainment,http://images2.wikia.nocookie.net/joeplayground/images/d/d6/Modernfamilywiki.png,"Herzlich Willkommen im Modern Family-Wiki. Hier gibt es Informationen zu den Familien Dunphy und Pritchett, oder besser gesagt zu Jay, Gloria, Manny, Phil, Claire, Alex, Hailey, Luke, Mitchell, Cameron und Lily. Alles zu den Folgen und den Charakteren und deren Geschichten läßt sich hier finden.",,,,,
,The Darkness Wiki,http://de.thedarkness.wikia.com/,Video Games,http://images2.wikia.nocookie.net/joeplayground/images/e/e5/TheDarkness.jpg,"Willkommen im The Darkness-Wiki - Dem Wiki rund um die The Darkness Spiele, die von Digital Extremes entwickelt, von Paul Jenkins geschrieben und von 2k Games veröffentlicht wird. Hilf uns dabei, alle interessanten Fakten zu The Darkness zu sammeln und mit anderen zu teilen!",,,,,
,Freundschaft ist Magie Wiki,http://de.mlp.wikia.com/,Entertainment,http://images4.wikia.nocookie.net/joeplayground/images/1/1b/MLP.png,"Besucht uns im deutschsprachigen Wiki für Freunde und Fans der Serie ""My Little Pony - Freundschaft ist Magie"". Wir bauen gemeinsam eine Datenbank für alle interessanten Aspekte der Welt von My little Pony, unter anderem Übersichten zu allen Staffeln und Figuren. ",,,,,
,DigiPedia,http://de.digimon.wikia.com/,Entertainment,http://images2.wikia.nocookie.net/joeplayground/images/0/00/480x320-digimon.jpg,"In der DigiPedia findest du alle Informationen zu den Digital Monsters (abgekürzt Digimon), die sich aus den sogenannten Virtual Pets (abgekürzt V-Pets) entwickelt haben. Inzwischen gibt es zu Digimon Mangas, Animes, Filme und eine Menge von Merchandise-Produkten.",http://images2.wikia.nocookie.net/joeplayground/images/2/21/Digimon2.jpg,http://images2.wikia.nocookie.net/joeplayground/images/7/74/Digimon3.jpg,,,
,Jedipedia,http://www.jedipedia.de/,Entertainment,http://images1.wikia.nocookie.net/joeplayground/images/8/89/Wookieepedia320.jpg,"Die Jedipedia ist eine riesige Sammlung aller Informationen rund um das Star Wars-Universum. Hier findest du alles über die Filme, Computerspiele, Bücher, Orte, Charaktere, Waffen, Technologie und vieles mehr.",http://images1.wikia.nocookie.net/joeplayground/images/9/94/Wookieepedia2.jpg,http://images3.wikia.nocookie.net/joeplayground/images/7/7f/Wookieepedia3.jpg,,,
,Narutopedia,http://de.naruto.wikia.com/,Entertainment,http://images1.wikia.nocookie.net/joeplayground/images/c/cc/Naruto320.jpg,"Die Narutopedia ist eine interaktive Enzyklopädie über Masashi Kishemotos Mangareihe Naruto und die darauf basierende Animeserie. Wir begleiten den jungen Naruto Uzumaki, der es sich zum Ziel gemacht hat, ein Hokage, der oberste Ninja seines Dorfes zu werden. ",http://images1.wikia.nocookie.net/joeplayground/images/3/39/Naruto2.jpg,http://images2.wikia.nocookie.net/joeplayground/images/e/e5/Naruto3.jpg,,,
,Memory Alpha,http://de.memory-alpha.org/,Entertainment,http://images2.wikia.nocookie.net/joeplayground/images/7/78/MemoryAlpha320.jpg,"Seit seiner Gründung im Jahr 2003 ist Memory Alpha, mit seinen knapp 22.000 Seiten, ein kollaboratives Projekt, dass es sich zum Ziel gesetzt hat, die informativste, akkurateste und zugänglichste interaktive Datenbank für alles rund um Star Trek zu werden. ",http://images4.wikia.nocookie.net/joeplayground/images/5/57/MemoryAlpha2.jpg,http://images1.wikia.nocookie.net/joeplayground/images/1/12/MemoryAlpha3.jpg,,,
,GTA Wiki,http://de.gta.wikia.com/,Video Games,http://images4.wikia.nocookie.net/joeplayground/images/7/7f/GTA_Wiki.jpg,"Das GTA-Wiki ist eine umfangreiche Datenbank zu den weltweit erfolgreichen Computerspielen der Grand-Theft-Auto-Serie. Hier findest du tausende von Seiten über Autos, Waffen, Personen und auch viele Spieletipps.",http://images4.wikia.nocookie.net/joeplayground/images/d/de/GTA2.jpg,http://images2.wikia.nocookie.net/joeplayground/images/c/c4/GTA3.jpg,,,
,One Piece Pedia,http://de.onepiece.wikia.com/,Entertainment,http://images3.wikia.nocookie.net/joeplayground/images/2/2e/OnePiece320.jpg,"OnePiecePedia ist ein Online-Nachschlagewerk über die Welt der Manga- und Anime-Reihe mit dem Titel One Piece. Unser langfristiges Ziel ist, eine allumfassende und zuverlässige Enzyklopädie rund um sie anzubieten. Derzeit schreiben wir an knapp 3000 Artikeln, doch sei gewarnt: Dieses Wiki enthält Spoiler zu Informationen über Kapitel, Episoden und anderer Produktionen, die in Deutschland noch nicht veröffentlicht wurden.",http://images1.wikia.nocookie.net/joeplayground/images/4/48/OnePiece2.jpg,,,,
,Fairytail Wiki,http://de.fairytail.wikia.com/,Entertainment,http://images4.wikia.nocookie.net/joeplayground/images/1/17/FairyTail320.jpg,"Das Fairy Tail-Wiki beschäftigt sich mit der gleichnamigen Manga-Reihe, die von Hiro Mashima für Kodansha geschaffen wurde, und der zugehörigen Fernsehserie, die in Japan auf TV Tokyo ausgestrahlt wird. Hier möchten wir dir als Leser gerne alle möglichen Informationen und Fakten rund um Natsu, Lucy und ihre Freunde von der Fairy-Tail-Gilde anbieten. ",http://images3.wikia.nocookie.net/__cb20120622104023/joeplayground/images/5/52/FairyTail2.jpg,,,,
,Risen Wiki,http://de.risen.wikia.com/,Video Games,http://images1.wikia.nocookie.net/joeplayground/images/e/e0/Risen_Wiki.jpg,"Das Risen-Wiki sammelt Informationen über die erfolgreiche Reihe des Rollenspiels Risen von Piranha Bytes. Hier bist du richtig, wenn du nach Informationen über die Quests, Charaktere und Spielwelt von Risen suchst.",,,,,
,Batman Wiki,http://de.batman.wikia.com/,Entertainment,http://images4.wikia.nocookie.net/joeplayground/images/7/7e/Batman320.jpg,"Das Batman-Wiki sammelt und liefert Informationen über den ""Dark Knight"". Erkundige dich über die Comics, Filme, TV-Serien und Videospiele und erfahre alles über die größten Schurken von Gotham City wie den Joker, Two-Face, den Riddler und Batmans wichtigste Verbündete wie James Gorden, Robin, Nightwing und Alfred Pennyworth.",,,,,
,Pokemon Wiki,http://de.pokemon.wikia.com/,Video Games,http://images2.wikia.nocookie.net/joeplayground/images/0/0f/Pokemon_Wiki.jpg,"Das Ziel vom Pokémon Wikia ist es, möglichst viele Informationen über alle Pokémon an einem Ort zu sammeln, um eine umfangreiche Bibliothek über Pokémon zu erschaffen, in der jede Information zu jedem Pokémon verfügbar ist. Egal ob Film, Fernsehserie oder Videospiel: Hier wirst du fündig.",,,,,
,Cosmo und Wanda Wiki,http://de.cosmowanda.wikia.com/,Entertainment,http://images4.wikia.nocookie.net/joeplayground/images/4/49/Cosmo_Wanda_Wiki.jpg,"Im Cosmo und Wanda Wiki geht es um die weltweit erfolgreiche Zeichentrickserie Cosmo und Wanda - Wenn Elfen helfen von Butch Hartman. Hier findest du Informationen zu den Episoden, den Songs, den Orten und natürlich den Charakteren wie Timmy Turner, Cosmo, Wanda, Vicky, Mr. und Mrs. Turner und noch vieles mehr",,,,,
,Lilo und Stitch Wiki,http://de.lilo-und-stitch.wikia.com/,Entertainment,http://images2.wikia.nocookie.net/joeplayground/images/1/1a/Lilo_Stitch_Wiki.jpg,"Wer kennt sie nicht: Den blauen außerirdischen Hund und das kleine hawaiianische Hulamädchen. Lilo und Stitch, die ihren ersten Auftritt im Film Lilo und Stitch und sogar ihre eigene Fernseh-Serie hatten. Dieses Wiki liefert alle Informationen über die Experimente, die Serie und die Filme, die ihr unbedingt wissen müsst oder unbedingt wissen wollt.",,,,,
,Resident Evil Wiki,http://de.residentevil.wikia.com/,Video Games,http://images3.wikia.nocookie.net/joeplayground/images/d/de/ResidentEvil320.jpg,"Resident Evil (im japanischen Biohazard) wurde im Jahr 1996 veröffentlich und zählt als Inbegriff der Survival-Horror-Spielen. Im Laufe der Jahre kamen zahlreiche Ableger sowie Filme, Comics und Romane heraus. In diesem Wiki findet ihr alles, was über die Resident Evil Reihe wissen müsst.",,,,,
